Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
augljós lausn|na|kvk|Eintala|||||||zero solution|trivial solution|||||||
augljóst grannmynstur|na|hk|Eintala||||fábrotið grannmynstur||||trivial topology|||||||
augljósleiki|na||Eintala||||||||triviality|||||||
alsamleitni í jöfnum mæli|na|kvk|Eintala|||||||normal convergence|uniform absolute convergence|||||||
alsamleitinn í jöfnum mæli|na|kk|Fleirtala|||||||normally convergent|uniformly absolutely convergent|||||||
algebra með einingarstaki|na|kvk|Eintala||||||||unitary algebra|||||||
allsherjar-|ls||Eintala||||||||universal|||||||
allsherjaralgebra|na|kvk|Eintala||||||||universal algebra|||||||
alflokkur|na|kk|Eintala||||alheimsflokkur||||universal class|||||||
allsherjarflokkur|na|kk|Eintala||||||||universal class|||||||
